Employment History,Employment Status,Age,Population estimate,Percentage within age and employment history,Percentage within age and employment status,Percentage within employment status and employment history,Country,Employment status,Percentage within country and employment history,Percentage within country and employment status,Ethnicity,Percentage within ethnicity and employment history,Percentage within ethnicity and employment status,Religion,Percentage within religion and employment history,Percentage within religion and employment status,Sex,Percentage within sex and employment history,Percentage within sex and employment status,Percentage within age,Percentage within employment history,Percentage within employment status,Percentage within religion,Percentage within sex,Percentage Estimate,Title,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2003 OCT,4.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2003 NOV,4.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2003 DEC,4.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2004 JAN,4.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2004 FEB,4.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2004 MAR,4.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2004 APR,4.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2004 MAY,4.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2004 JUN,4.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2004 JUL,4.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2004 AUG,4.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2004 SEP,4.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2004 OCT,4.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2004 NOV,4.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2004 DEC,4.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2005 JAN,4.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2005 FEB,4.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2005 MAR,4.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2005 APR,4.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2005 MAY,4.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2005 JUN,4.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2005 JUL,4.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2005 AUG,4.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2005 SEP,4.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2005 OCT,5.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2005 NOV,5.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2005 DEC,5.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2006 JAN,5.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2006 FEB,5.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2006 MAR,5.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2006 APR,5.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2006 MAY,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2006 JUN,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2006 JUL,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2006 AUG,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2006 SEP,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2006 OCT,5.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2006 NOV,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2006 DEC,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2007 JAN,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2007 FEB,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2007 MAR,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2007 APR,5.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2007 MAY,5.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2007 JUN,5.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2007 JUL,5.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2007 AUG,5.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2007 SEP,5.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2007 OCT,5.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2007 NOV,5.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2007 DEC,5.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2008 JAN,5.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2008 FEB,5.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2008 MAR,5.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2008 APR,5.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2008 MAY,5.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2008 JUN,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2008 JUL,5.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2008 AUG,5.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2008 SEP,6.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2008 OCT,6.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2008 NOV,6.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2008 DEC,6.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2009 JAN,6.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2009 FEB,7.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2009 MAR,7.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2009 APR,7.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2009 MAY,7.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2009 JUN,7.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2009 JUL,7.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2009 AUG,7.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2009 SEP,7.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2009 OCT,7.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2009 NOV,7.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2009 DEC,7.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2010 JAN,7.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2010 FEB,8.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2010 MAR,8.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2010 APR,7.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2010 MAY,7.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2010 JUN,7.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2010 JUL,7.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2010 AUG,7.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2010 SEP,7.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2010 OCT,7.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2010 NOV,7.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2010 DEC,7.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2011 JAN,7.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2011 FEB,7.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2011 MAR,7.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2011 APR,7.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2011 MAY,7.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2011 JUN,8.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2011 JUL,8.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2011 AUG,8.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2011 SEP,8.4
